date,selected_etf,best_etf,best_momentum,hs300_close,hs300_ma200,reason
2023-04-28,cash,dividend,0.0859069932552361,4.025,4.04116,hs300_below_ma200
2023-05-31,cash,kc50,0.0629844961240309,3.802,4.002495,hs300_below_ma200
2023-06-30,cash,dividend,0.0176653966054729,3.882,3.969435,hs300_below_ma200
2023-07-31,securities,securities,0.0788072417465388,4.084,3.958805,buy
2023-08-31,cash,securities,0.0975056689342404,3.839,3.9758,hs300_below_ma200
2023-09-28,cash,securities,0.0700564971751411,3.764,3.969935,hs300_below_ma200
2023-10-31,cash,medicine,0.0022883295194509,3.644,3.943685,hs300_below_ma200
2023-11-30,cash,medicine,0.0356294536817103,3.562,3.89292,hs300_below_ma200
2023-12-29,cash,kc50,-0.0375536480686695,3.499,3.8246249999999997,best_momentum_le_0
2024-01-31,cash,dividend,-0.007778153533987,3.222,3.7485649999999997,best_momentum_le_0
2024-02-29,cash,dividend,0.0394121576486306,3.503,3.6980399999999998,hs300_below_ma200
2024-03-29,cash,dividend,0.0470347648261757,3.526,3.65858,hs300_below_ma200
2024-04-30,cash,consumer,0.1069182389937106,3.598,3.624305,hs300_below_ma200
2024-05-31,cash,dividend,0.0534277438043129,3.582,3.594185,hs300_below_ma200
2024-06-28,cash,dividend,0.0488204456094365,3.487,3.557415,hs300_below_ma200
2024-07-31,cash,dividend,-0.0212025316455696,3.508,3.52068,best_momentum_le_0
2024-08-30,cash,securities,-0.0073170731707317,3.392,3.4921699999999998,best_momentum_le_0
2024-09-30,new_energy,new_energy,2.96692607003891,4.233,3.4712599999999996,buy
2024-10-31,new_energy,new_energy,3.114068441064638,3.971,3.5245550000000003,buy
2024-11-29,new_energy,new_energy,3.3027888446215146,4.001,3.600885,buy
2024-12-31,cash,dividend,-0.0155699177438307,4.022,3.67159,best_momentum_le_0
2025-01-27,kc50,kc50,0.0191919191919192,3.907,3.70137,buy
2025-02-28,kc50,kc50,0.0915221579961464,3.994,3.744395,buy
2025-03-31,cash,kc50,-0.0064754856614245,3.984,3.786125,best_momentum_le_0
2025-04-30,consumer,consumer,0.0569210866752909,3.866,3.82063,buy
2025-05-30,medicine,medicine,0.041899441340782,3.959,3.8658099999999997,buy
2025-06-30,securities,securities,0.0470046082949309,3.982,3.9211800000000006,buy
2025-07-31,cyb,cyb,0.1698017285205897,4.155,3.9985250000000003,buy
2025-08-29,cyb,cyb,0.4204263758056521,4.601,4.03159,buy
2025-09-30,kc50,kc50,0.5038314176245211,4.741,4.09235,buy
2025-10-31,new_energy,new_energy,0.4723340040241448,4.756,4.150765,buy
2025-11-28,new_energy,new_energy,0.2703188145487203,4.635,4.23252,buy
2025-12-31,dividend,dividend,0.0327709279688512,4.753,4.311415,buy
2026-01-30,zz500,zz500,0.151432469304229,4.711,4.39313,buy
2026-02-27,zz500,zz500,0.2385880351573575,4.725,4.45162,buy
2026-03-31,cash,new_energy,0.048234882908074,4.463,4.5215,hs300_below_ma200
2026-04-30,cyb,cyb,0.1088067327923054,4.824,4.596995,buy
2026-05-29,cyb,cyb,0.2349177330895795,4.923,4.66816,buy
