date,base_position,actual_position,strategy_return,equity,stop_loss_flag
2020-10-28,cash,cash,0.0,1.0,False
2020-10-29,cash,cash,0.0,1.0,False
2020-10-30,cash,cash,0.0,1.0,False
2020-11-02,cash,cash,0.0,1.0,False
2020-11-03,cash,cash,0.0,1.0,False
2020-11-04,cash,cash,0.0,1.0,False
2020-11-05,cash,cash,0.0,1.0,False
2020-11-06,cash,cash,0.0,1.0,False
2020-11-09,cash,cash,0.0,1.0,False
2020-11-10,cash,cash,0.0,1.0,False
2020-11-11,cash,cash,0.0,1.0,False
2020-11-12,cash,cash,0.0,1.0,False
2020-11-13,cash,cash,0.0,1.0,False
2020-11-16,cash,cash,0.0,1.0,False
2020-11-17,cash,cash,0.0,1.0,False
2020-11-18,cash,cash,0.0,1.0,False
2020-11-19,cash,cash,0.0,1.0,False
2020-11-20,cash,cash,0.0,1.0,False
2020-11-23,cash,cash,0.0,1.0,False
2020-11-24,cash,cash,0.0,1.0,False
2020-11-25,cash,cash,0.0,1.0,False
2020-11-26,cash,cash,0.0,1.0,False
2020-11-27,cash,cash,0.0,1.0,False
2020-11-30,cash,cash,0.0,1.0,False
2020-12-01,cash,cash,0.0,1.0,False
2020-12-02,cash,cash,0.0,1.0,False
2020-12-03,cash,cash,0.0,1.0,False
2020-12-04,cash,cash,0.0,1.0,False
2020-12-07,cash,cash,0.0,1.0,False
2020-12-08,cash,cash,0.0,1.0,False
2020-12-09,cash,cash,0.0,1.0,False
2020-12-10,cash,cash,0.0,1.0,False
2020-12-11,cash,cash,0.0,1.0,False
2020-12-14,cash,cash,0.0,1.0,False
2020-12-15,cash,cash,0.0,1.0,False
2020-12-16,cash,cash,0.0,1.0,False
2020-12-17,cash,cash,0.0,1.0,False
2020-12-18,cash,cash,0.0,1.0,False
2020-12-21,cash,cash,0.0,1.0,False
2020-12-22,cash,cash,0.0,1.0,False
2020-12-23,cash,cash,0.0,1.0,False
2020-12-24,cash,cash,0.0,1.0,False
2020-12-25,cash,cash,0.0,1.0,False
2020-12-28,cash,cash,0.0,1.0,False
2020-12-29,cash,cash,0.0,1.0,False
2020-12-30,cash,cash,0.0,1.0,False
2020-12-31,cash,cash,0.0,1.0,False
2021-01-04,cyb,cyb,0.03738101884159095,1.0373810188415908,False
2021-01-05,cyb,cyb,0.0040322580645162365,1.041564006820791,False
2021-01-06,cyb,cyb,0.005020080321285203,1.046792741794791,False
2021-01-07,cyb,cyb,0.017649017649017607,1.0652676053695909,False
2021-01-08,cyb,cyb,-0.00654450261780104,1.0582959587375909,False
2021-01-11,cyb,cyb,-0.015480895915678583,1.041912589152391,False
2021-01-12,cyb,cyb,0.029106724657075977,1.0722392520015909,False
2021-01-13,cyb,cyb,-0.016579973992197683,1.054461553089991,False
2021-01-14,cyb,cyb,-0.01256198347107429,1.0412154244891911,False
2021-01-15,cyb,cyb,0.001004352192835567,1.0422611714839911,False
2021-01-18,cyb,cyb,0.0187290969899665,1.0617817820535909,False
2021-01-19,cyb,cyb,-0.022980958634274407,1.037381018841591,False
2021-01-20,cyb,cyb,0.040322580645161255,1.0792108986335907,False
2021-01-21,cyb,cyb,0.025839793281653867,1.1070974851615905,False
2021-01-22,cyb,cyb,0.02046599496221657,1.1297553367155901,False
2021-01-25,cyb,cyb,0.000308546744831828,1.1301039190471902,False
2021-01-26,cyb,cyb,-0.02776064157927205,1.0987315092031904,False
2021-01-27,cyb,cyb,0.004441624365482122,1.1036116618455902,False
2021-01-28,cyb,cyb,-0.03442830069488312,1.0656161877011905,False
2021-01-29,cyb,cyb,-0.009159306509650023,1.0558558824163906,False
2021-02-01,cash,cash,-0.001,1.0548000265339743,False
2021-02-02,cash,cash,0.0,1.0548000265339743,False
2021-02-03,cash,cash,0.0,1.0548000265339743,False
2021-02-04,cash,cash,0.0,1.0548000265339743,False
2021-02-05,cash,cash,0.0,1.0548000265339743,False
2021-02-08,cash,cash,0.0,1.0548000265339743,False
2021-02-09,cash,cash,0.0,1.0548000265339743,False
2021-02-10,cash,cash,0.0,1.0548000265339743,False
2021-02-18,cash,cash,0.0,1.0548000265339743,False
2021-02-19,cash,cash,0.0,1.0548000265339743,False
2021-02-22,cash,cash,0.0,1.0548000265339743,False
2021-02-23,cash,cash,0.0,1.0548000265339743,False
2021-02-24,cash,cash,0.0,1.0548000265339743,False
2021-02-25,cash,cash,0.0,1.0548000265339743,False
2021-02-26,cash,cash,0.0,1.0548000265339743,False
2021-03-01,dividend,dividend,0.012272658323852936,1.0677452268596168,False
2021-03-02,dividend,dividend,-0.0056137724550898715,1.0617511481160187,False
2021-03-03,dividend,dividend,0.024463680843056057,1.0877254893382773,False
2021-03-04,dividend,dividend,-0.0014695077149154967,1.0861270683399844,False
2021-03-05,dividend,dividend,-0.010301692420897735,1.0749381213519345,False
2021-03-08,dividend,dividend,-0.004089219330855043,1.0705424636066292,False
2021-03-09,dividend,dividend,-0.004106009705113767,1.066146805861324,False
2021-03-10,dividend,dividend,-0.005622188905547221,1.0601527271177258,False
2021-03-11,dividend,dividend,0.017715793441387184,1.0789341738476668,False
2021-03-12,dividend,dividend,0.009999999999999787,1.089723515586143,False
2021-03-15,dividend,dividend,0.009167583425009118,1.0997136468254733,False
2021-03-16,dividend,dividend,0.0010901162790697416,1.1009124625741928,False
2021-03-17,dividend,dividend,-0.005081669691469948,1.095317989080168,False
2021-03-18,dividend,dividend,0.0,1.095317989080168,False
2021-03-19,dividend,dividend,-0.006202116016052472,1.0885246998374236,False
2021-03-22,dividend,dividend,0.009544787077826689,1.098914436326327,False
2021-03-23,dividend,dividend,-0.007636363636363552,1.0905227260852897,False
2021-03-24,dividend,dividend,-0.01758886038842067,1.0713416741057755,False
2021-03-25,dividend,dividend,0.0007459903021260761,1.0721408846049219,False
2021-03-26,dividend,dividend,0.011926947446887715,1.0849282525912645,False
2021-03-29,dividend,dividend,0.013259668508287303,1.0993140415759,False
2021-03-30,dividend,dividend,-0.00036350418029806875,1.0989144363263268,False
2021-03-31,dividend,dividend,-0.0025454545454546285,1.0961171995793142,False
2021-04-01,medicine,medicine,0.018083102493074987,1.1159383992437293,False
2021-04-02,medicine,medicine,0.00746775288526802,1.124271951444463,False
2021-04-06,medicine,medicine,-0.016846361185983816,1.1053320600791587,False
2021-04-07,medicine,medicine,-0.005483207676490798,1.0992712948422614,False
2021-04-08,medicine,medicine,0.019986216402480883,1.1212415688260142,False
2021-04-09,medicine,medicine,-0.01858108108108114,1.1004076883241793,False
2021-04-12,medicine,medicine,-0.02857142857142847,1.0689674686577744,False
2021-04-13,medicine,medicine,0.009567682494684648,1.0791950099950387,False
2021-04-14,medicine,medicine,0.0,1.0791950099950387,False
2021-04-15,medicine,medicine,-0.008424008424008478,1.0701038621396926,False
2021-04-16,medicine,medicine,-0.005663716814159336,1.0640430969027952,False
2021-04-19,medicine,medicine,0.02990388038447822,1.0958621143965062,False
2021-04-20,medicine,medicine,0.0024196335983408535,1.0985136991876487,False
2021-04-21,medicine,medicine,0.02172413793103445,1.1223779623079322,False
2021-04-22,medicine,medicine,0.0003374957813027102,1.1227567601352382,False
2021-04-23,medicine,medicine,0.02294197031039147,1.1485150123920522,False
2021-04-26,medicine,medicine,-0.004617414248021201,1.1432118428097668,False
2021-04-27,medicine,medicine,0.02650762094102066,1.1735156689942539,False
2021-04-28,medicine,medicine,0.020658489347966436,1.1977587299418433,False
2021-04-29,medicine,medicine,-0.003795066413662229,1.1932131560141703,False
2021-04-30,medicine,medicine,0.016507936507936583,1.2129106430340868,False
2021-05-06,medicine,medicine,-0.044034978138663305,1.1595001493839288,False
2021-05-07,medicine,medicine,-0.02482848742241095,1.1307115145086664,False
2021-05-10,medicine,medicine,0.019765494137353512,1.1530605863197254,False
2021-05-11,medicine,medicine,0.019382391590013093,1.1754096581307845,False
2021-05-12,medicine,medicine,0.014824363519174932,1.1928343581868643,False
2021-05-13,medicine,medicine,0.0057161003493171325,1.1996527190783737,False
2021-05-14,medicine,medicine,0.0236817177139248,1.22806255612633,False
2021-05-17,medicine,medicine,0.02128315854410845,1.25419960621045,False
2021-05-18,medicine,medicine,-0.008758683177287785,1.2432144692185734,False
2021-05-19,medicine,medicine,-0.0030469226081658585,1.2394264909455124,False
2021-05-20,medicine,medicine,-0.003667481662591676,1.2348809170178394,False
2021-05-21,medicine,medicine,-0.01411042944785268,1.2174562169617595,False
2021-05-24,medicine,medicine,-0.005289359054138076,1.2110166538975562,False
2021-05-25,medicine,medicine,0.030028151391930047,1.2473812453189406,False
2021-05-26,medicine,medicine,-0.001214697843911372,1.2458660540097162,False
2021-05-27,medicine,medicine,0.007601094557616372,1.2553359996923683,False
2021-05-28,medicine,medicine,-0.01991550995775493,1.2303353430901667,False
2021-05-31,medicine,medicine,0.01477832512315258,1.2485176388008585,False
2021-06-01,new_energy,new_energy,-0.008018054162487463,1.2385069567501323,False
2021-06-02,new_energy,new_energy,-0.007063572149344055,1.2297586735036632,False
2021-06-03,new_energy,new_energy,-0.016260162601625994,1.2097625975117337,False
2021-06-04,new_energy,new_energy,0.01446280991735538,1.227259164004672,False
2021-06-07,new_energy,new_energy,-0.016293279022403295,1.2072630880127424,False
2021-06-08,new_energy,new_energy,-0.009316770186335366,1.196015295267282,False
2021-06-09,new_energy,new_energy,0.0052246603970742544,1.2022640690147601,False
2021-06-10,new_energy,new_energy,0.042619542619542594,1.2535040137440794,False
2021-06-11,new_energy,new_energy,0.017946161515453696,1.2759995992350002,False
2021-06-15,new_energy,new_energy,-0.009794319294809006,1.2635020517400442,False
2021-06-16,new_energy,new_energy,-0.05143422354104843,1.1985148047662735,False
2021-06-17,new_energy,new_energy,0.01772679874869665,1.2197606355076986,False
2021-06-18,new_energy,new_energy,0.035860655737704805,1.2635020517400442,False
2021-06-21,new_energy,new_energy,0.013847675568743778,1.2809986182329824,False
2021-06-22,new_energy,new_energy,0.0029268292682926855,1.2847478824814693,False
2021-06-23,new_energy,new_energy,0.02237354085603105,1.3134922417198678,False
2021-06-24,new_energy,new_energy,0.007611798287345373,1.3234902797158326,False
2021-06-25,new_energy,new_energy,0.014164305949008638,1.3422366009582667,False
2021-06-28,new_energy,new_energy,0.01582867783985087,1.3634824316996916,False
2021-06-29,new_energy,new_energy,0.013748854262144894,1.3822287529421255,False
2021-06-30,new_energy,new_energy,0.020795660036166286,1.410973112180524,False
2021-07-01,new_energy,new_energy,-0.024800708591674048,1.3759799791946474,False
2021-07-02,new_energy,new_energy,-0.0072661217075385975,1.3659819411986827,False
2021-07-05,new_energy,new_energy,0.02104300091491318,1.3947263004370813,False
2021-07-06,new_energy,new_energy,-0.010752688172043001,1.3797292434431343,False
2021-07-07,new_energy,new_energy,0.061594202898550554,1.4647125664088343,False
2021-07-08,new_energy,new_energy,0.026450511945392607,1.5034549636431978,False
2021-07-09,new_energy,new_energy,0.011637572734829682,1.5209515301361363,False
2021-07-12,new_energy,new_energy,0.03697617091207883,1.5771904938634378,False
2021-07-13,new_energy,new_energy,0.002377179080824021,1.5809397581119244,False
2021-07-14,new_energy,new_energy,-0.03320158102766779,1.5284500586331098,False
2021-07-15,new_energy,new_energy,0.03352412101390012,1.5796900033624288,False
2021-07-16,new_energy,new_energy,-0.02848101265822789,1.5346988323805875,False
2021-07-19,new_energy,new_energy,-0.017100977198696965,1.5084539826411802,False
2021-07-20,new_energy,new_energy,0.014084507042253502,1.5296998133826052,False
2021-07-21,new_energy,new_energy,0.0490196078431373,1.6046850983523409,False
2021-07-22,new_energy,new_energy,0.01791277258566981,1.6334294575907395,False
2021-07-23,new_energy,new_energy,-0.007651109410864554,1.6209319100957837,False
2021-07-26,new_energy,new_energy,-0.005397070161912043,1.6121836268493146,False
2021-07-27,new_energy,new_energy,-0.06279069767441858,1.5109534921401717,False
2021-07-28,new_energy,new_energy,-0.00413564929693977,1.5047047183926936,False
2021-07-29,new_energy,new_energy,0.07225913621262459,1.6134333815988102,False
2021-07-30,new_energy,new_energy,0.013942680092951187,1.6359289670897308,False
2021-08-02,cash,cash,-0.001,1.634293038122641,False
2021-08-03,cash,cash,0.0,1.634293038122641,False
2021-08-04,cash,cash,0.0,1.634293038122641,False
2021-08-05,cash,cash,0.0,1.634293038122641,False
2021-08-06,cash,cash,0.0,1.634293038122641,False
2021-08-09,cash,cash,0.0,1.634293038122641,False
2021-08-10,cash,cash,0.0,1.634293038122641,False
2021-08-11,cash,cash,0.0,1.634293038122641,False
2021-08-12,cash,cash,0.0,1.634293038122641,False
2021-08-13,cash,cash,0.0,1.634293038122641,False
2021-08-16,cash,cash,0.0,1.634293038122641,False
2021-08-17,cash,cash,0.0,1.634293038122641,False
2021-08-18,cash,cash,0.0,1.634293038122641,False
2021-08-19,cash,cash,0.0,1.634293038122641,False
2021-08-20,cash,cash,0.0,1.634293038122641,False
2021-08-23,cash,cash,0.0,1.634293038122641,False
2021-08-24,cash,cash,0.0,1.634293038122641,False
2021-08-25,cash,cash,0.0,1.634293038122641,False
2021-08-26,cash,cash,0.0,1.634293038122641,False
2021-08-27,cash,cash,0.0,1.634293038122641,False
2021-08-30,cash,cash,0.0,1.634293038122641,False
2021-08-31,cash,cash,0.0,1.634293038122641,False
2021-09-01,cash,cash,0.0,1.634293038122641,False
2021-09-02,cash,cash,0.0,1.634293038122641,False
2021-09-03,cash,cash,0.0,1.634293038122641,False
2021-09-06,cash,cash,0.0,1.634293038122641,False
2021-09-07,cash,cash,0.0,1.634293038122641,False
2021-09-08,cash,cash,0.0,1.634293038122641,False
2021-09-09,cash,cash,0.0,1.634293038122641,False
2021-09-10,cash,cash,0.0,1.634293038122641,False
2021-09-13,cash,cash,0.0,1.634293038122641,False
2021-09-14,cash,cash,0.0,1.634293038122641,False
2021-09-15,cash,cash,0.0,1.634293038122641,False
2021-09-16,cash,cash,0.0,1.634293038122641,False
2021-09-17,cash,cash,0.0,1.634293038122641,False
2021-09-22,cash,cash,0.0,1.634293038122641,False
2021-09-23,cash,cash,0.0,1.634293038122641,False
2021-09-24,cash,cash,0.0,1.634293038122641,False
2021-09-27,cash,cash,0.0,1.634293038122641,False
2021-09-28,cash,cash,0.0,1.634293038122641,False
2021-09-29,cash,cash,0.0,1.634293038122641,False
2021-09-30,cash,cash,0.0,1.634293038122641,False
2021-10-08,cash,cash,0.0,1.634293038122641,False
2021-10-11,cash,cash,0.0,1.634293038122641,False
2021-10-12,cash,cash,0.0,1.634293038122641,False
2021-10-13,cash,cash,0.0,1.634293038122641,False
2021-10-14,cash,cash,0.0,1.634293038122641,False
2021-10-15,cash,cash,0.0,1.634293038122641,False
2021-10-18,cash,cash,0.0,1.634293038122641,False
2021-10-19,cash,cash,0.0,1.634293038122641,False
2021-10-20,cash,cash,0.0,1.634293038122641,False
2021-10-21,cash,cash,0.0,1.634293038122641,False
2021-10-22,cash,cash,0.0,1.634293038122641,False
2021-10-25,cash,cash,0.0,1.634293038122641,False
2021-10-26,cash,cash,0.0,1.634293038122641,False
2021-10-27,cash,cash,0.0,1.634293038122641,False
2021-10-28,cash,cash,0.0,1.634293038122641,False
2021-10-29,cash,cash,0.0,1.634293038122641,False
2021-11-01,cash,cash,0.0,1.634293038122641,False
2021-11-02,cash,cash,0.0,1.634293038122641,False
2021-11-03,cash,cash,0.0,1.634293038122641,False
2021-11-04,cash,cash,0.0,1.634293038122641,False
2021-11-05,cash,cash,0.0,1.634293038122641,False
2021-11-08,cash,cash,0.0,1.634293038122641,False
2021-11-09,cash,cash,0.0,1.634293038122641,False
2021-11-10,cash,cash,0.0,1.634293038122641,False
2021-11-11,cash,cash,0.0,1.634293038122641,False
2021-11-12,cash,cash,0.0,1.634293038122641,False
2021-11-15,cash,cash,0.0,1.634293038122641,False
2021-11-16,cash,cash,0.0,1.634293038122641,False
2021-11-17,cash,cash,0.0,1.634293038122641,False
2021-11-18,cash,cash,0.0,1.634293038122641,False
2021-11-19,cash,cash,0.0,1.634293038122641,False
2021-11-22,cash,cash,0.0,1.634293038122641,False
2021-11-23,cash,cash,0.0,1.634293038122641,False
2021-11-24,cash,cash,0.0,1.634293038122641,False
2021-11-25,cash,cash,0.0,1.634293038122641,False
2021-11-26,cash,cash,0.0,1.634293038122641,False
2021-11-29,cash,cash,0.0,1.634293038122641,False
2021-11-30,cash,cash,0.0,1.634293038122641,False
2021-12-01,cash,cash,0.0,1.634293038122641,False
2021-12-02,cash,cash,0.0,1.634293038122641,False
2021-12-03,cash,cash,0.0,1.634293038122641,False
2021-12-06,cash,cash,0.0,1.634293038122641,False
2021-12-07,cash,cash,0.0,1.634293038122641,False
2021-12-08,cash,cash,0.0,1.634293038122641,False
2021-12-09,cash,cash,0.0,1.634293038122641,False
2021-12-10,cash,cash,0.0,1.634293038122641,False
2021-12-13,cash,cash,0.0,1.634293038122641,False
2021-12-14,cash,cash,0.0,1.634293038122641,False
2021-12-15,cash,cash,0.0,1.634293038122641,False
2021-12-16,cash,cash,0.0,1.634293038122641,False
2021-12-17,cash,cash,0.0,1.634293038122641,False
2021-12-20,cash,cash,0.0,1.634293038122641,False
2021-12-21,cash,cash,0.0,1.634293038122641,False
2021-12-22,cash,cash,0.0,1.634293038122641,False
2021-12-23,cash,cash,0.0,1.634293038122641,False
2021-12-24,cash,cash,0.0,1.634293038122641,False
2021-12-27,cash,cash,0.0,1.634293038122641,False
2021-12-28,cash,cash,0.0,1.634293038122641,False
2021-12-29,cash,cash,0.0,1.634293038122641,False
2021-12-30,cash,cash,0.0,1.634293038122641,False
2021-12-31,cash,cash,0.0,1.634293038122641,False
2022-01-04,cash,cash,0.0,1.634293038122641,False
2022-01-05,cash,cash,0.0,1.634293038122641,False
2022-01-06,cash,cash,0.0,1.634293038122641,False
2022-01-07,cash,cash,0.0,1.634293038122641,False
2022-01-10,cash,cash,0.0,1.634293038122641,False
2022-01-11,cash,cash,0.0,1.634293038122641,False
2022-01-12,cash,cash,0.0,1.634293038122641,False
2022-01-13,cash,cash,0.0,1.634293038122641,False
2022-01-14,cash,cash,0.0,1.634293038122641,False
2022-01-17,cash,cash,0.0,1.634293038122641,False
2022-01-18,cash,cash,0.0,1.634293038122641,False
2022-01-19,cash,cash,0.0,1.634293038122641,False
2022-01-20,cash,cash,0.0,1.634293038122641,False
2022-01-21,cash,cash,0.0,1.634293038122641,False
2022-01-24,cash,cash,0.0,1.634293038122641,False
2022-01-25,cash,cash,0.0,1.634293038122641,False
2022-01-26,cash,cash,0.0,1.634293038122641,False
2022-01-27,cash,cash,0.0,1.634293038122641,False
2022-01-28,cash,cash,0.0,1.634293038122641,False
2022-02-07,cash,cash,0.0,1.634293038122641,False
2022-02-08,cash,cash,0.0,1.634293038122641,False
2022-02-09,cash,cash,0.0,1.634293038122641,False
2022-02-10,cash,cash,0.0,1.634293038122641,False
2022-02-11,cash,cash,0.0,1.634293038122641,False
