year,candidate,top_n,momentum_threshold,threshold_percent,trading_days,final_value,year_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,cash_ratio,invested_day_ratio,average_holding_count_when_invested,active_signal_count,total_cost
2024,Top4_4.00,4,0.04,4.0,242,1.0089296189322585,0.00892961893225852,0.008960420809827285,0.21067442073713152,0.04253207759383199,-0.1737305116351746,0.051576552244568995,0.8388429752066116,0.16115702479338842,4.0,2,0.003
2025,Top4_4.00,4,0.04,4.0,243,1.2968176539322167,0.2968176539322167,0.2989085536152276,0.21259499782521524,1.4059999373126124,-0.10739162823044701,2.783350606937561,0.4156378600823045,0.5843621399176955,2.4577464788732395,8,0.010666666666666668
2026,Top4_4.00,4,0.04,4.0,95,1.1352491829133007,0.13524918291330068,0.3795470861782846,0.2781550827280888,1.3645160910085248,-0.1122455957543611,3.3813984738331078,0.3684210526315789,0.631578947368421,1.3666666666666667,2,0.005
2020,Top4_3.75,4,0.0375,3.75,243,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1,0.0
2021,Top4_3.75,4,0.0375,3.75,243,1.3944025389838233,0.39440253898382327,0.39987102852713186,0.18834141449016112,2.123117900593345,-0.06375715132466009,6.271783168149,0.48559670781893005,0.51440329218107,2.608,5,0.009000000000000001
2022,Top4_3.75,4,0.0375,3.75,242,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0,0.0
2023,Top4_3.75,4,0.0375,3.75,242,0.9070018613346672,-0.0929981386653328,-0.09428832868783743,0.06746204921033153,-1.3976499349118137,-0.10915434081121389,-0.8638074123951907,0.8223140495867769,0.17768595041322313,4.0,2,0.004
2024,Top4_3.75,4,0.0375,3.75,242,1.0089296189322585,0.00892961893225852,0.008960420809827285,0.21067442073713152,0.04253207759383199,-0.1737305116351746,0.051576552244568995,0.8388429752066116,0.16115702479338842,4.0,2,0.003
2025,Top4_3.75,4,0.0375,3.75,243,1.288489875803248,0.2884898758032479,0.29051581405533944,0.21082339611493728,1.3780055696330555,-0.1088239056552961,2.6695955480182767,0.4156378600823045,0.5843621399176955,2.5985915492957745,8,0.010499999999999999
2026,Top4_3.75,4,0.0375,3.75,95,1.1041040155254382,0.10410401552543824,0.28556205727772954,0.2819726552035578,1.0127296105063115,-0.13646403348663105,2.0925810998082888,0.3684210526315789,0.631578947368421,1.7333333333333334,2,0.005
