candidate,top_n,momentum_threshold,pool_test,invest_pool,pool_size,final_value,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,max_dd_start,max_dd_end,cash_ratio,avg_holding_count,avg_holding_count_when_invested,rebalance_days,total_cost_rate
Top1_4.00,1,0.04,without_new_energy,"hs300,zz500,cyb,kc50,securities,consumer,medicine,dividend",8,1.5141100894487647,0.5141100894487647,0.0697692619629271,0.19174307995611017,0.36386847430894104,-0.25504107542942456,0.2735608836555184,2024-10-08,2024-10-17,0.7361290322580645,0.26387096774193547,1.0,26,0.033000000000000015
Top1_4.00,1,0.04,without_growth_group,"hs300,zz500,consumer,medicine,dividend",5,0.9885854724196567,-0.011414527580343337,-0.0018647132431535152,0.10921734788678261,-0.017073416258802793,-0.21925641851178757,-0.00850471450646844,2021-05-27,2024-10-17,0.8393548387096774,0.16064516129032258,1.0,19,0.022000000000000006
Top1_4.00,1,0.04,broad_plus_dividend,"hs300,zz500,dividend",3,0.9687500566125933,-0.03124994338740672,-0.0051484155977602475,0.08109791518131347,-0.06348394513286504,-0.16938458070603524,-0.030394830369449368,2026-01-23,2026-03-23,0.8909677419354839,0.10903225806451614,1.0,14,0.014000000000000005
Top1_4.00,1,0.04,no_sector_etf,"hs300,zz500,dividend",3,0.9687500566125933,-0.03124994338740672,-0.0051484155977602475,0.08109791518131347,-0.06348394513286504,-0.16938458070603524,-0.030394830369449368,2026-01-23,2026-03-23,0.8909677419354839,0.10903225806451614,1.0,14,0.014000000000000005
Top1_4.00,1,0.04,broad_index_only,"hs300,zz500",2,0.9100120030916536,-0.08998799690834636,-0.015214025956791555,0.07940534822747282,-0.19159951182643106,-0.1693845807060349,-0.08981942685323484,2026-01-23,2026-03-23,0.9058064516129032,0.09419354838709677,1.0,12,0.012000000000000004
Top3_4.00,3,0.04,without_consumer,"hs300,zz500,cyb,kc50,securities,medicine,new_energy,dividend",8,2.0216239956063426,1.0216239956063426,0.12124615205427536,0.1696443868667193,0.7147077147299433,-0.18533835353290118,0.654188136147178,2024-10-08,2024-10-17,0.7361290322580645,0.5819354838709677,2.2053789731051343,29,0.031714937713980554
Top3_4.00,3,0.04,without_defensive_group,"hs300,zz500,cyb,kc50,securities,new_energy",6,1.968168720871971,0.9681687208719709,0.11637176168651409,0.17212424017616398,0.6760916508181014,-0.18533835353290096,0.6278881810928355,2024-10-08,2024-10-17,0.7645161290322581,0.5135483870967742,2.180821917808219,27,0.028381604380647223
Top3_4.00,3,0.04,without_securities,"hs300,zz500,cyb,kc50,consumer,medicine,new_energy,dividend",8,1.893203178053458,0.893203178053458,0.1093456982989931,0.1648199865153724,0.6634249923858273,-0.2159287669481642,0.5063970856891087,2023-02-01,2024-10-17,0.7361290322580645,0.5670967741935484,2.1491442542787285,29,0.030408178153143606
Top3_4.00,3,0.04,without_medicine,"hs300,zz500,cyb,kc50,securities,consumer,new_energy,dividend",8,1.8602630642876077,0.8602630642876077,0.10618451299295661,0.16025564371838205,0.6625945303964154,-0.2021744896251726,0.5252122223225123,2023-02-01,2024-10-17,0.7496774193548387,0.567741935483871,2.268041237113402,29,0.031048271047313888
Top3_4.00,3,0.04,full_pool,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",9,1.8570999858782338,0.8570999858782338,0.10587849890642276,0.15789403594569282,0.6705668030604991,-0.20217448962517237,0.5236986085767767,2023-02-01,2024-10-17,0.7361290322580645,0.5948387096774194,2.254278728606357,29,0.03238160438064722
Top3_4.00,3,0.04,without_hs300,"zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8570999858782338,0.8570999858782338,0.10587849890642276,0.15789403594569282,0.6705668030604991,-0.20217448962517237,0.5236986085767767,2023-02-01,2024-10-17,0.7361290322580645,0.5948387096774194,2.254278728606357,29,0.03238160438064722
Top3_4.00,3,0.04,without_cyb,"hs300,zz500,kc50,securities,consumer,medicine,new_energy,dividend",8,1.8084515421502108,0.8084515421502108,0.10111611321063241,0.15427634057902015,0.6554220357517546,-0.17896074035972664,0.5650184113419526,2023-02-01,2024-10-17,0.747741935483871,0.5045161290322581,2.0,28,0.030555861185954394
Top3_4.00,3,0.04,without_zz500,"hs300,cyb,kc50,securities,consumer,medicine,new_energy,dividend",8,1.7806252179910094,0.7806252179910094,0.09834364593598965,0.15869170891391282,0.6197150853630241,-0.20217448962517237,0.4864295496346591,2023-02-01,2024-10-17,0.7490322580645161,0.5548387096774193,2.210796915167095,27,0.029685989602692333
Top3_4.00,3,0.04,without_dividend,"hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy",8,1.7739044397647894,0.7739044397647894,0.09766858725878946,0.15701101192801054,0.6220492821457037,-0.20886778063144662,0.4676096378461002,2023-02-01,2024-10-17,0.7509677419354839,0.58,2.3290155440414506,28,0.030381604380647225
